geneNames	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1337314	GSM1337315	GSM1337316	GSM1337317	GSM1337318	GSM1337319	GSM1337320	GSM1337321	GSM1337322	GSM1337323	GSM1337324	GSM1337325	GSM1337326
SLC25A40	116.2	74.3	96.2	58.8	65.5	168.5	129.8	82.1	88.3	42	82.4	93.1	151.6	76.3	124.5	202.4	175.5	243.5	98.2	226.3	107.7	158.1	143.1
SLC25A42	8.9	34.3	25.8	14.9	8.3	12.9	1.9	5.7	7.7	10.9	27.4	6.5	7.2	10	1.6	6.7	20.5	35.1	40	7.3	1.8	8	22.2
SLC25A44	581.45	389.35	314.4	814.4	503.4	310.9	377.85	406.3	348.1	515.8	307.1	237.6	372.8	314.8	253.75	346.5	331	377.05	327.2	327.4	281.95	338.25	408.55
SLC25A46	774.6	605.8	755.5	637.7	877.5	1427.3	856	629.5	689.2	619.9	866	801.7	880.5	1186	800.3	1106.7	1001.6	1035.2	1058.3	800.3	862.6	1529.3	771.3
SLC25A5	5705.7	4704.2	3283.3	7213.4	6492.9	6771.2	4769.3	4835.7	5664.7	6844.2	4161.1	3770.2	3472.3	3758.9	4076.6	4896.9	6431.6	5806.4	4355.6	5198.5	5149.4	5362.1	6338.2
SLC25A6	6795	6368.05	7811.6	4051.65	4618.35	5596.05	4770.6	4773.75	3808.65	4424.55	4736.65	5350.75	5404.3	5257.45	5709.2	4781.1	6159.3	5953	3463.65	5364.55	5573.2	3904.85	4617.1
SLC26A1	104.15	72.4	52.95	90.1	62.65	83.8	76.85	99.35	72.65	75.65	54.25	34	35.7	52.1	34.05	18.9	41.45	33.7	55.9	45.5	53.55	56.05	90.45
SLC26A10	149.7	131.8	119	172.7	156.7	82.3	144.9	173.9	120.7	154	29.6	40.2	94.9	70.4	82	72	40	40.1	97.8	113.7	132.2	75.2	148.9
SLC26A2	337.7	214.6	318.6	205	331.1	300.5	349.7	280.5	271.1	177.8	224.7	284.1	319.6	360.7	317.2	293.8	99	234.1	351	154.7	190.7	174.2	319.7
SLC26A3	6.85	12.95	2.15	23.4	10.9	17.55	13.55	20.6	31.9	5.1	34.65	13.45	3.3	5.35	6.75	13.6	17.3	5.65	7.9	24.75	23.2	13.9	12.4
