geneNames	GSM302859	GSM302864	GSM302866	GSM302870	GSM302872	GSM302882	GSM302896	GSM302900	GSM302924	GSM302927	GSM302933	GSM302943	GSM303364	GSM303366	GSM303368	GSM303520	GSM303522	GSM303523	GSM303525	GSM303531	GSM303533
FMNL1	324.783	395.317	126.592	669.576	490.147	187.632	275.756	320.899	265.551	405.667	574.421	437.376	314.748	229.034	540.183	750.861	240.897	468.439	672.756	755.975	737.276
FMO1	332.985	166.477	165.006	62.0159	188.099	196.541	562.99	92.7522	118.503	271.45	180.778	356.153	346.224	251.142	133.26	320.316	41.4829	360.753	192.485	251.436	132.286
FMO2	432.75	1039.91	1355.87	148.696	358.471	330.943	317.32	338.187	1784.44	290.394	243.298	522.816	324.183	139.863	258.756	262.52	341.332	641.796	1372.59	770.868	354.106
FMO3	207.1205	291.2175	244.555	80.7306	132.4369	184.576	295.5395	187.7535	407.425	141.252	316.545	268.48	80.37025	106.31415	119.6495	79.15935	59.70045	526.92	224.951	147.84	97.31285
FMO4	639.111	446.268	359.437	295.316	451.021	440.715	714.366	418.965	490.554	482.794	479.776	392.142	619.777	525.603	296.253	323.973	345.907	350.256	435.584	471.669	427.354
FMO5	77.29105	100.70595	113.2849	42.1198	70.94355	128.93635	118.28495	75.3079	90.70515	112.65965	110.57455	76.29015	90.8312	120.1787	93.00665	102.44615	67.532	65.7029	111.53555	131.90675	85.7559
FMO6P	45.0194	93.7754	51.2347	134.942	43.446	23.9045	84.8861	22.2015	61.0796	67.3482	6.68975	46.5875	73.03	92.1432	56.6787	40.7796	87.1763	41.7009	11.026	34.7559	54.8322
FMOD	1528.86	2995.3	2236.51	1029.99	4302.5	5596.71	907.008	1601.5	7389.29	3376.81	1004.63	1771.74	1284.77	4522.94	2655.22	3318.96	2752.98	2568.71	1281.65	995.368	2107.72
FMR1	901.029	1031.2525	1100.535	631.537	518.267	927.9925	765.018	685.083	709.424	630.913	524.8035	531.4645	639.2695	908.786	674.3555	471.559	693.4565	534.1065	436.752	402.16	342.601
FN1	11044.5786666667	16066.4858333333	13648.5886666667	12235.3198333333	7627.77366666667	6164.807	7603.5505	8605.812	6668.24093333333	8358.32533333333	9000.197	7782.1315	9263.51683333333	9208.119	9570.9795	13231.275	10857.1968333333	15109.0205	13040.1341666667	14630.3763333333	14316.5638333333
FN3K	19.98	30.5213	28.6426	90.2268	64.024	19.08	52.9146	40.415	10.6907	18.0715	12.1105	30.9657	17.3602	19.4839	17.6012	40.4684	54.5371	25.4561	14.0835	68.8805	29.826
FN3KRP	707.638	876.712	802.839	304.362	639.161	1205.33	1036.24	903.938	1003.2	1029.72	715.734	1064.7	788.351	792.709	1249.09	827.903	462.917	754.405	992.635	1027.56	832.516
FNBP1	671.607	538.2735	623.774	354.44	726.1435	465.973	1234.055	935.0195	679.544	739.8355	1099.922	1056.345	676.531	558.172	766.9085	762.0835	446.284	650.2655	734.5195	718.0205	549.1235
FNBP1L	507.798	211.093	676.569	105.409	116.303	310.287	171.096	153.813	287.216	163.954	61.6856	107.009	178.566	342.277	134.592	135.96	214.594	180.394	163.114	129.148	170.779
FNBP4	1656.49	1111.16	1205.78	1672.56	572.455	872.616	1027.89	1260.21	818.522	760.585	1196.07	956.511	1769.46	1879.79	1767.63	804.759	1245.19	526.067	947.165	1120.5	865.679
FNDC3A	451.1338	455.01605	539.2789	536.8665	410.846	646.4674	641.508	564.64435	466.90165	521.145	399.09405	585.3275	504.612	597.0734	914.7145	416.0817	516.213	536.1455	386.86625	522.33675	466.6245
